Round,Date,Team1,FThome,FTaway,HThome,HTaway, Team2,,1,2,Description
10,(Mon) 30 Oct 2017 (43),Burnley FC,1,0,0,0,Newcastle United FC,,Burnley FC,Newcastle United FC,Burnley FC  Vs. Newcastle United FC
11,(Sat) 4 Nov 2017 (44),Huddersfield Town AFC,1,0,1,0,West Bromwich Albion FC,,Huddersfield Town AFC,West Bromwich Albion FC,Huddersfield Town AFC  Vs. West Bromwich Albion FC
11,(Sat) 4 Nov 2017 (44),Newcastle United FC,0,1,0,0,AFC Bournemouth,,Newcastle United FC,AFC Bournemouth,Newcastle United FC  Vs. AFC Bournemouth
11,(Sat) 4 Nov 2017 (44),Southampton FC,0,1,0,0,Burnley FC,,Southampton FC,Burnley FC,Southampton FC  Vs. Burnley FC
11,(Sat) 4 Nov 2017 (44),Stoke City FC,2,2,1,1,Leicester City FC,,Stoke City FC,Leicester City FC,Stoke City FC  Vs. Leicester City FC
11,(Sat) 4 Nov 2017 (44),Swansea City AFC,0,1,0,1,Brighton & Hove Albion FC,,Swansea City AFC,Brighton & Hove Albion FC,Swansea City AFC  Vs. Brighton & Hove Albion FC
11,(Sat) 4 Nov 2017 (44),West Ham United FC,1,4,0,2,Liverpool FC,,West Ham United FC,Liverpool FC,West Ham United FC  Vs. Liverpool FC
11,(Sun) 5 Nov 2017 (44),Chelsea FC,1,0,0,0,Manchester United FC,,Chelsea FC,Manchester United FC,Chelsea FC  Vs. Manchester United FC
11,(Sun) 5 Nov 2017 (44),Everton FC,3,2,0,0,Watford FC,,Everton FC,Watford FC,Everton FC  Vs. Watford FC
11,(Sun) 5 Nov 2017 (44),Manchester City FC,3,1,1,0,Arsenal FC,,Manchester City FC,Arsenal FC,Manchester City FC  Vs. Arsenal FC
11,(Sun) 5 Nov 2017 (44),Tottenham Hotspur FC,1,0,0,0,Crystal Palace FC,,Tottenham Hotspur FC,Crystal Palace FC,Tottenham Hotspur FC  Vs. Crystal Palace FC
12,(Sat) 18 Nov 2017 (46),Arsenal FC,2,0,2,0,Tottenham Hotspur FC,,Arsenal FC,Tottenham Hotspur FC,Arsenal FC  Vs. Tottenham Hotspur FC
12,(Sat) 18 Nov 2017 (46),AFC Bournemouth,4,0,2,0,Huddersfield Town AFC,,AFC Bournemouth,Huddersfield Town AFC,AFC Bournemouth  Vs. Huddersfield Town AFC
12,(Sat) 18 Nov 2017 (46),Burnley FC,2,0,2,0,Swansea City AFC,,Burnley FC,Swansea City AFC,Burnley FC  Vs. Swansea City AFC
